signaldate,Fuel oil temperature supply unit(ams),TC Bearing Oil Pressure Inlet TC #01(ams),Estimated engine load(ems),Turbocharger 1 speed(ems),VIT intermediate result A(ems),VIT intermediate result B(ems),VIT intermediate result C(ems),VIT intermediate result D(ems),Common Start of Injection(ems),Scav. Air Press. Mean Value(ems),Compression Pressure Average(ems),Firing Pressure Average(ems),Relative Engine Speed(ems),Exhaust Gas Average Temperature(ems),Exh. valve opening angle at CMCR(ems),Exh. valve closing angle at CMCR(ems),Cyl. lub. distribution share above piston(ems),Cyl. lub. distribution share below piston(ems),Cyl. lub. distribution share into piston(ems),Engine External Speed Setpoint(ems),Engine Internal Speed Setpoint(ems),MFI Demand(ems),Limited MFI PID MAX value(ems),Fuel Pressure Setpoint(ems),Fuel Pump Setpoint Master Controller(ems),Fuel Pump Setpoint Slave Controller(ems),Barometric Pressure 1(ems),Exh. valve opening angle Cyl_mean,Exh. valve opening angle Cyl_min,Exh. valve opening angle Cyl_max,Firing Pr. Balancing Injection Offset Cyl_mean,Firing Pr. Balancing Injection Offset Cyl_min,Firing Pr. Balancing Injection Offset Cyl_max,Start of Injection Cyl_mean,Start of Injection Cyl_min,Start of Injection Cyl_max,Engine speed(scr)
2021-10-02 23:00:00,33.0,2.0,3.22954,2971.28,-5.0,2.1046666666666667,-1.0,-3.895333333333333,-2.477,0.1100116333333333,30.514333333333337,38.72283333333333,34.6,192.9,120.0,259.0,70.0,5.0,25.0,24.272450000000003,23.953616666666665,327.69,507.1831666666667,750.0,20.14333333333333,20.141666666666666,1009.0,122.09333333333332,122.09333333333332,122.09333333333332,0.0133333333333333,-0.53,0.4000000000000001,-2.295333333333333,-2.9920000000000004,-1.8,23.5383
2021-10-03 00:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,-0.0601666666666666,-4.0601666666666665,-2.6406666666666667,0.0525610666666666,28.5,0.0,0.0,167.26666666666668,120.0,259.0,70.0,5.0,25.0,0.4000000000000001,32.0,327.69,496.456,750.0,21.43,21.42833333333333,1008.6666666666666,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.1738611111111115,-3.7645,-2.837666666666667,0.0
2021-10-03 01:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,154.35,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,72.52333333333333,72.52333333333333,1009.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.0507777777777783,-3.513333333333333,-2.647333333333333,0.0
2021-10-03 02:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,140.33333333333334,120.0,259.0,70.0,5.0,25.0,0.7815181666666667,32.0,327.69,486.7,750.0,75.0,75.0,1008.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.114777777777778,-3.6953333333333336,-2.594,0.0
2021-10-03 03:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,128.15,120.0,259.0,70.0,5.0,25.0,0.768,32.0,327.69,486.7,750.0,75.0,75.0,1008.0,122.1,122.1,122.1,0.0133333333333333,-0.53,0.4,-3.070333,-3.6228,-2.701866,0.0
2021-10-03 04:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,117.58,120.0,259.0,70.0,5.0,25.0,0.8,32.0,327.69,486.7,750.0,75.0,75.0,1006.0,122.1,122.1,122.1,0.0133333333333333,-0.53,0.4,-3.091666666666667,-3.6228,-2.5236,0.0
2021-10-03 05:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,108.8,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.146777777777778,-3.716666666666667,-2.583333333333333,0.0
2021-10-03 06:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,101.58333333333331,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1005.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.091666666666667,-3.5246666666666666,-2.732666666666667,0.0
2021-10-03 07:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,94.85,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.061444444444444,-3.6313333333333335,-2.658,0.0
2021-10-03 08:00:00,33.0,2.0,0.0,0.0,-5.0,1.0,0.0,-4.0,-2.58,0.0,28.5,0.0,0.0,89.03333333333335,120.0,259.0,70.0,5.0,25.0,0.8000000000000002,32.0,327.69,486.7,750.0,75.0,75.0,1004.0,122.09999999999998,122.09999999999998,122.09999999999998,0.0133333333333333,-0.53,0.4000000000000001,-3.111222222222222,-3.61,-2.7006666666666668,0.0
