TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load(ems)
65.12457,1.8104085,325.22083,11351.127,82.82541,20.344446,5891.745,33.97661,53.547894
65.1122,1.8377386,327.23276,11313.426,82.067345,20.403206,5933.868,33.94688,53.51982
64.858826,1.9577557,324.86957,11399.34,82.21765,20.393932,6020.097,33.99112,53.35317
64.93444,1.8676665,330.53955,11117.899,82.15783,20.232372,5990.183,33.839344,53.483562
64.86736,1.9193071,328.995,11481.137,82.67971,20.28308,5898.534,33.801895,52.77527
64.72052,1.9432167,322.9038,11140.261,82.16713,20.201952,5951.5303,33.99185,53.651047
65.120224,1.9297692,328.4273,11187.069,82.69511,20.194048,6002.1763,33.886066,53.86988
65.0464,1.9464653,317.92944,11095.918,82.63274,20.129272,5918.617,33.868763,53.255535
65.073,1.8726835,326.84824,11339.673,82.24157,20.68334,5955.542,33.820766,53.105038
64.65286,1.8447334,322.94785,11311.489,81.98854,20.385748,5979.6543,34.098206,53.274864
64.800354,1.8460971,324.40906,11162.285,81.76458,20.12891,5973.284,33.94967,53.323654
65.04978,1.914684,334.06033,11302.257,81.93582,20.298403,5945.607,34.076664,53.13418
65.03133,1.9117568,326.48013,11447.607,82.21175,20.53832,5974.949,34.126724,53.234814
64.981316,1.9499466,321.54532,11407.258,82.36758,20.168205,5981.2847,34.13886,53.410976
64.97681,1.8894722,323.00912,11493.897,82.71485,20.701427,6001.9873,34.058037,53.432896
65.24171,1.9355259,320.42038,11147.739,82.54323,20.381636,5926.8613,33.85367,53.2369
64.64056,2.0279,319.81055,11214.816,82.391815,20.480883,5950.0317,34.03914,53.375782
64.93249,1.9268267,323.37943,11300.357,81.94643,20.19958,5968.771,34.03901,53.153313
64.86138,1.8781172,327.06888,11362.301,81.54118,20.631174,5979.8477,34.198307,53.74091
64.90065,1.869203,324.94144,11257.024,82.026054,20.319963,5906.777,34.07326,52.967808
64.82575,1.9144207,322.9532,11152.809,82.39787,20.33497,6024.1323,34.127388,53.647404
64.543045,1.8789889,321.38425,11275.806,82.149864,20.727528,6062.533,34.17347,53.018105
64.861534,1.9827096,324.90012,11301.709,81.59464,20.289165,5988.9595,34.07031,53.10652
64.7622,1.9369644,326.07227,11394.752,81.746254,20.617891,6053.0522,34.06593,53.519722
64.78391,1.9435289,321.83246,11316.256,82.25411,20.589314,5989.3193,34.024776,53.014446
64.73786,1.8891785,324.3327,11121.739,81.849686,20.398026,6043.7637,33.99467,53.523083
64.904144,1.8739727,320.02676,11045.3,82.763435,20.662859,6091.8555,34.194927,53.17046
65.08046,1.8762047,326.40067,11234.288,81.97886,20.391865,6057.4434,34.147957,52.97117
64.25122,1.8883061,327.91672,11136.855,81.86642,20.354853,6087.36,34.057495,52.981808
64.55019,1.8948191,329.53687,11002.432,82.43795,20.539576,6140.32,34.329998,52.87304
64.745056,1.9636141,320.93283,11138.671,82.21283,20.771664,6194.9585,34.12246,53.04449
64.01066,1.8900534,320.0243,11281.626,81.41638,20.403673,6117.956,34.01895,53.087547
64.0421,1.9123533,323.89908,10963.894,81.439674,20.454258,6068.7153,34.37002,53.033802
64.09194,1.8733221,324.10324,11444.588,81.351204,20.940746,6137.036,34.624306,52.884388
64.792946,1.8491114,319.50537,11160.553,82.24742,20.373991,6238.873,34.468243,52.83804
64.04713,1.8522145,323.38828,11375.559,81.30604,20.46801,6124.7,34.524914,52.77045
64.75406,1.9055897,326.48917,11134.669,81.327934,20.41288,6170.6436,34.373272,52.67293
63.32792,1.9399608,322.77023,11233.921,81.6888,20.299204,6130.1616,34.30301,51.963272
63.943817,1.8695638,322.36612,11464.0,81.7213,20.679966,6184.6177,34.033295,52.94617
64.802,1.8575246,321.50464,11201.928,81.24181,20.743261,6104.0127,34.72548,52.84721
64.46068,1.8699232,321.48367,11258.538,81.68924,20.382366,6240.6855,34.127586,52.3355
