TS_Pcomp,TS_Pscav,TS_Texh,TS_Ntc,TS_Pmax,TS_PR,TS_Ntc_Pscav,TS_Pcomp_Pscav,Estimated engine load
47.71393,0.9895849,273.0037,8631.922,74.8901,32.745426,8878.275,49.054028,35.92013
48.09596,1.0515186,271.39407,8676.112,79.57207,32.11072,8916.444,49.073795,35.71168
47.62715,0.9776015,271.08276,8659.18,78.3235,30.726479,9033.757,48.71686,34.69439
47.457718,0.9400963,267.377,8664.618,76.36576,31.104034,9017.142,49.802822,32.92774
47.916508,0.9815413,269.392,8531.834,76.95272,30.847965,9015.909,49.47176,33.70499
46.624855,0.9706878,266.3345,8489.965,75.70493,30.639715,9239.68,50.016228,32.48222
47.09655,0.94069993,267.34027,8480.171,75.58334,29.649538,9120.776,50.03822,32.92715
45.997154,0.92204136,269.48145,8540.734,74.10227,29.17395,9165.295,49.924644,34.015636
46.342373,0.921034,267.04846,8435.661,73.51822,30.106268,9196.044,50.172897,33.647915
45.43441,0.89296186,266.49408,8507.178,74.67497,29.760033,9180.3,50.256214,32.153584
46.25433,0.91426855,264.80478,8435.862,75.900215,29.477957,9213.517,50.153732,32.016808
45.00203,0.8901066,264.09497,8424.638,75.058365,29.205933,9185.598,50.436916,32.157227
46.150383,0.868528,265.18765,8376.149,73.56992,28.89531,9199.994,50.418346,32.366974
45.396698,0.9189428,265.69824,8394.74,73.403946,29.791521,9267.303,50.188366,32.58655
46.41289,0.896524,262.79877,8531.226,73.98894,30.202599,9176.314,50.66164,32.202057
46.85614,0.8728424,265.54272,8357.989,73.06575,29.80309,9132.216,50.058376,31.705893
45.02166,0.9184778,261.12668,8500.807,75.18256,29.435804,9324.335,50.05802,31.994616
45.838043,0.8790215,260.99924,8454.308,73.31028,28.275898,9246.373,51.117416,32.23294
45.158245,0.89635783,263.63037,8600.17,74.39704,30.055372,9175.238,51.070736,32.314125
45.2117,0.87652737,263.98135,8408.467,72.78748,29.036036,9290.3,50.62957,32.811653
45.520622,0.889358,264.51764,8431.525,72.873634,26.342525,9239.498,50.342022,31.449682
44.86454,0.8804482,262.49545,8413.129,73.348755,30.031277,9252.734,50.5763,32.07851
45.4333,0.871561,262.59207,8387.148,73.56971,28.808409,9177.837,50.339336,31.329103
45.14496,0.8820721,261.7389,8418.293,74.27205,28.95811,9299.402,51.16403,30.992651
45.350822,0.8904096,261.0376,8424.178,72.63435,30.32134,9341.668,50.408333,32.046112
45.487335,0.861156,262.63922,8402.076,74.67023,28.76434,9284.865,50.201828,31.313808
44.905315,0.8630303,264.10092,8417.687,75.25115,28.386608,9248.812,51.08735,31.147247
45.0019,0.88018215,263.3673,8332.515,72.65056,28.240442,9235.114,50.703518,31.607681
44.82881,0.87394965,263.2751,8402.1045,75.50557,30.417475,9291.756,50.914898,32.296062
44.633774,0.85415334,260.89572,8288.477,73.17972,28.568598,9371.353,51.601906,31.925203
43.966274,0.9007046,261.17276,8302.703,75.310616,29.120071,9357.383,51.579716,32.408554
44.62543,0.85304725,260.8101,8450.534,75.22445,29.254324,9285.529,50.914265,31.74778
44.5403,0.8458526,261.7114,8350.031,75.50257,29.398752,9193.977,50.575302,31.529879
44.25557,0.8484112,259.71326,8390.251,74.473465,28.333014,9319.966,50.200016,31.743969
44.454674,0.83195746,261.47766,8191.672,76.1608,29.29856,9347.107,50.729687,31.924515
44.838024,0.8530945,259.77594,8240.396,74.14803,29.170736,9339.742,51.34057,30.621634
44.35404,0.86633724,261.60406,8350.452,76.285545,28.896345,9296.156,51.03582,31.15441
44.089745,0.8158946,259.82812,8353.699,73.077446,29.593935,9274.801,51.401737,32.439194
44.019833,0.8350393,260.06143,8336.349,73.77718,29.619513,9300.105,51.591904,31.619484
44.154446,0.83560973,261.25323,8361.36,74.96646,30.4269,9393.782,51.342453,31.043133
43.721996,0.8560047,261.49857,8254.59,73.314835,30.238867,9332.869,51.58346,31.798944
43.815994,0.8430775,260.7157,8276.343,74.62157,29.941614,9354.802,51.41301,31.925573
43.702248,0.8658648,261.91354,8211.824,72.93626,30.573103,9198.835,50.89848,31.054998
43.91627,0.804778,262.16687,8422.965,77.2039,30.050938,9385.265,51.55956,31.54656
43.754475,0.8498608,262.29816,8317.492,76.06683,31.004707,9365.155,50.64982,31.466301
44.310467,0.8187627,260.56467,8276.549,76.30759,31.268797,9327.45,50.834324,31.426064
43.600636,0.8336319,263.72018,8237.558,78.50175,29.990019,9573.989,51.30245,32.02391
44.405445,0.83838207,262.54837,8251.123,78.15357,30.50613,9386.465,51.03612,32.330734
44.347347,0.8588845,263.8289,8223.785,76.50442,30.54269,9302.913,51.245323,32.05884
